"","train_days","oos_day","spec","fcst_rmse","rw_rmse","fcst_mae","rw_mae","box_p_lag4","box_p_lag5","box_p_lag6","box_p_lag7","arch_p_lag4","arch_p_lag5","arch_p_lag6","arch_p_lag7","jb_p","dm_p_1","dm_p_2"
"29","2011-01-29/2011-01-30","2011-01-31","ARIMA(2,0,0) with zero mean",0.00341000622222184,0.00348238605014292,0.00269353642200703,0.00275711567972753,0.804303246951496,0.884005620735836,0.820179117725535,0.829983989943909,2.43021653800746e-07,2.89943152709249e-07,4.18895863218971e-07,1.15948393386578e-06,0,1.11904440891272e-07,5.47255094554015e-09
"30","2011-01-30/2011-01-31","2011-02-01","ARIMA(0,1,2)",0.00323485403797554,0.0033474420402643,0.00252916197701035,0.00262351628596485,0.806332082846562,0.765729412991757,0.749975497772229,0.574679162204986,1.78361283008632e-05,3.03097711538136e-05,4.11748371261789e-05,9.68675359523941e-05,7.40518757424979e-13,5.56031625125079e-08,1.22569045205684e-08
"31","2011-01-31/2011-02-01","2011-02-02","ARIMA(2,1,2)",0.00318481939014226,0.00327928332681515,0.00251125831093305,0.00258085978373831,0.95489066800017,0.962690783698825,0.775889330468338,0.832528791824972,0.25413861149324,0.373244343189997,0.113801683817208,0.0704790875147545,0.00351229415476306,0.00233676091265849,0.000166432306416682
"32","2011-02-01/2011-02-02","2011-02-03","ARIMA(2,1,2)",0.00340924069633631,0.0035760708449078,0.00267637169807515,0.00279869138314143,0.82676635554757,0.774130271379285,0.842457360603233,0.559388553412735,0.17448046189803,0.270766822284069,0.317006038205124,0.128486824899495,0.0052733239197954,2.27046239020648e-07,1.64915987226916e-09
"33","2011-02-02/2011-02-03","2011-02-04","ARIMA(0,1,2)",0.00350209055802933,0.00366585786439314,0.00267013972965084,0.00279436918961672,0.908030650017248,0.0571749771085712,0.0973121592022649,0.146065646077596,0.00943996375371114,0.0198102316029085,0.0368890502558408,0.0608643769933295,1.22777343847247e-11,1.03007966536216e-06,0.00125871154881986
"34","2011-02-03/2011-02-04","2011-02-05","ARIMA(1,1,2)",0.00379693087616151,0.00388294019052768,0.00298121775290258,0.00308169431688833,0.998900328326927,0.680956222276671,0.777107981092731,0.326799710747274,0,0,0,0,0,0.000370396163229075,0.00439972851107957
"35","2011-02-04/2011-02-05","2011-02-06","ARIMA(2,1,2)",0.00398666440705782,0.00407283100876387,0.00316701632732797,0.00321494505315689,0.926531428162219,0.66562137546846,0.714083629372411,0.716591193783523,0,0,0,0,0,0.0442773153404845,0.00222096966434146
"36","2011-02-05/2011-02-06","2011-02-07","ARIMA(0,0,1) with zero mean",0.00368645981295576,0.00380751921049975,0.00291629170679235,0.0029939298097043,0.815950956868159,0.846254578404466,0.764039712822641,0.720896325454102,0.0546735665845905,0.0907333950503,0.106602776322764,0.0891631073320199,0.00279662883901421,4.56439933388207e-05,1.21008115409018e-08
"37","2011-02-06/2011-02-07","2011-02-08","ARIMA(0,1,2)",0.00349964794517698,0.00366655923847783,0.00275778469734778,0.00286747817208606,0.81957581519852,0.905764207823698,0.152533863758576,0.222201647208239,0.0273222926422589,0.0459009813454793,0.05907432565797,0.079410950472165,4.28222123148858e-05,8.2201313847618e-06,1.61809399402388e-09
"38","2011-02-07/2011-02-08","2011-02-09","ARIMA(0,1,2)",0.00368849814386397,0.00380474789622476,0.00293206824188539,0.00299512065489289,0.988650036775813,0.966246185837989,0.219354043447415,0.299445106115713,0.386494480126735,0.501926668277611,0.586202150340248,0.495738148448146,0.00153591278187115,0.0198397138614206,0.000153814589644357
