"","train_days","oos_day","spec","fcst_rmse","rw_rmse","fcst_mae","rw_mae","box_p_lag4","box_p_lag5","box_p_lag6","box_p_lag7","jb_p","dm_p_1","dm_p_2"
"17","2011-01-17/2011-01-20","2011-01-21","ARIMA(0,1,5)",0.00358644194178993,0.00379656068402417,0.00281138737248603,0.00297394941116477,0.999113935614122,0.995013851922242,0.997537426619335,0.996497491811187,4.04354327798728e-12,3.97366723104351e-09,9.55452096667419e-12
"18","2011-01-18/2011-01-21","2011-01-22","ARIMA(0,1,2)",0.00380493159621771,0.00386876980190466,0.00295943906823745,0.0030240358915394,0.971870435009266,0.963115757682354,0.9045104021932,0.945866677396585,2.88657986402541e-14,0.0116832029212143,0.0304547576444942
"19","2011-01-19/2011-01-22","2011-01-23","ARIMA(1,1,2)",0.00401648867516714,0.00408258235724603,0.00310096198404835,0.00315265318930473,0.846438570632261,0.742554881929,0.663004545349063,0.767099947108934,0,0.0358740368729159,0.0153515767648911
"20","2011-01-20/2011-01-23","2011-01-24","ARIMA(0,0,2) with zero mean",0.00354996046286358,0.00361243927171203,0.00281856034499693,0.00285847430369177,0.744213133800125,0.742298786063464,0.623131976319471,0.405546885401483,0,0.0295762693182686,0.00168536864779863
"21","2011-01-21/2011-01-24","2011-01-25","ARIMA(1,0,0) with zero mean",0.00361366455571149,0.00369889162267964,0.0028315682321866,0.00290162397916806,0.879935079162542,0.923266904838944,0.931652120089907,0.710754083780536,0,0.00029654571466751,1.49509797915993e-05
"22","2011-01-22/2011-01-25","2011-01-26","ARIMA(1,0,0) with zero mean",0.00340512177082385,0.00352369619062298,0.00269935785934451,0.00277632586536391,0.875914013154632,0.703344368098592,0.54132312876801,0.440946726102059,0,6.85735638866613e-06,6.25998302924183e-10
"23","2011-01-23/2011-01-26","2011-01-27","ARIMA(0,1,5)",0.00356149499151208,0.00370229835530203,0.00271520327350263,0.00282029603908944,0.993777279802605,0.748723043861946,0.816856619337019,0.869543438828886,3.66373598126302e-15,7.05326500483697e-06,1.44229356189705e-07
"24","2011-01-24/2011-01-27","2011-01-28","ARIMA(2,1,2)",0.00327757387347407,0.00342252978490936,0.00258737850961283,0.00270226765182267,0.84394522648756,0.584918438820278,0.68995656495476,0.766691931498893,0,2.98880255356438e-06,2.49442715712674e-08
"25","2011-01-25/2011-01-28","2011-01-29","ARIMA(0,0,2) with zero mean",0.00346393381684446,0.00351614702566156,0.00269421737962162,0.00274076179282833,0.616927292700716,0.731022513491516,0.107729118244435,0.00514660863744343,0,0.0148887843849303,0.0141761804901595
"26","2011-01-26/2011-01-29","2011-01-30","ARIMA(0,1,5)",0.00381095604447759,0.00377399185724461,0.00295531713084926,0.00296916472411068,0.995915409537404,0.757156148448677,0.852718724482846,0.862695012568684,0,0.301565249168019,0.885618195112008
"27","2011-01-27/2011-01-30","2011-01-31","ARIMA(2,0,0) with zero mean",0.00338883258827222,0.00348238605014292,0.00267241432330865,0.00275711567972753,0.836899727684998,0.916680693876604,0.433150008914019,0.541217247281584,0,1.29813271785188e-07,2.23547804177631e-08
"28","2011-01-28/2011-01-31","2011-02-01","ARIMA(0,0,1) with zero mean",0.00326391037368654,0.0033474420402643,0.00255718768119746,0.00262351628596485,0.605656657264334,0.70135960262276,0.714018092476295,0.781673263969175,0,8.2589736966047e-06,3.6433924238171e-07
"29","2011-01-29/2011-02-01","2011-02-02","ARIMA(0,0,1) with zero mean",0.00321941617008266,0.00327928332681515,0.00254238560062974,0.00258085978373831,0.915201025304074,0.927475149974063,0.935221797575906,0.928660861083772,0,0.00489424211174289,9.0897571609381e-05
"30","2011-01-30/2011-02-02","2011-02-03","ARIMA(2,1,2)",0.00341845442668881,0.0035760708449078,0.00268264682084368,0.00279869138314143,0.942054586987975,0.900153291608049,0.893279931889343,0.939476988371327,0,2.16922209194552e-08,4.64773088873247e-11
"31","2011-01-31/2011-02-03","2011-02-04","ARIMA(2,1,2)",0.00349879481367507,0.00366585786439314,0.00267064581257234,0.00279436918961672,0.90407857203833,0.427820330469983,0.498865908884998,0.601260289051428,1.03272945750632e-12,2.47985921232736e-06,0.00114051415857319
