"","train_days","oos_day","spec","fcst_rmse","rw_rmse","fcst_mae","rw_mae","box_p_lag4","box_p_lag5","box_p_lag6","box_p_lag7","jb_p","dm_p_1","dm_p_2"
"1","2011-01-01/2011-01-03","2011-01-04","ARIMA(0,0,2) with zero mean",0.00332209258428984,0.00339272588997956,0.0026190865396809,0.00265696141321365,0.986931210219783,0.995784474219309,0.932493958706348,0.925609942270326,0,0.00649401148338585,5.0645062472222e-06
"2","2011-01-02/2011-01-04","2011-01-05","ARIMA(0,1,4)",0.00326083857413296,0.00335613999766382,0.00255735048956717,0.00264292866092086,0.991798343332935,0.849350334220974,0.860968974193746,0.918966206797393,0,2.11122086606149e-05,8.620054023897e-06
"3","2011-01-03/2011-01-05","2011-01-06","ARIMA(0,1,2)",0.00295723393729319,0.00307350553170594,0.00234909754667196,0.0024391035756269,0.944656903454247,0.979787328014331,0.551330557621142,0.586476866895869,2.22607487998516e-11,2.16099366810011e-05,4.1552993908973e-07
"4","2011-01-04/2011-01-06","2011-01-07","ARIMA(0,1,2)",0.00325950749698779,0.00343066917121909,0.00257762043119326,0.00268350975153059,0.991727606947372,0.974550170065392,0.698448832450819,0.619892158702824,9.64355496035907e-06,2.58095224097758e-06,5.30951539037941e-12
"5","2011-01-05/2011-01-07","2011-01-08","ARIMA(2,1,1)",0.00385311014542351,0.00395070322173627,0.00302912070829559,0.00311956823662298,0.99888271758108,0.999730904993029,0.793821976970557,0.743896190551256,2.71542155427795e-09,0.000658515621202634,0.000660952412948012
"6","2011-01-06/2011-01-08","2011-01-09","ARIMA(1,1,2)",0.00388469089017659,0.00394935895974408,0.00306901775719204,0.00309907486106748,0.974751768293851,0.992297562846564,0.982100040486754,0.982364830884372,4.9960036108132e-15,0.138924005771451,0.0176370157958376
"7","2011-01-07/2011-01-09","2011-01-10","ARIMA(2,0,0) with zero mean",0.00350950034606926,0.00363150023590577,0.00262805774343106,0.00271848892932716,0.999406931802155,0.988995191770368,0.990703560979818,0.821401214318403,3.21898840915935e-10,7.75291866783224e-06,4.74500382887222e-05
"8","2011-01-08/2011-01-10","2011-01-11","ARIMA(1,0,0) with zero mean",0.00341915959085138,0.00349508142796764,0.00271537691456991,0.00278142068212307,0.83992447196424,0.8754259553483,0.72516969369954,0.41388093093707,0,0.000486065687807884,0.000267217260836351
"9","2011-01-09/2011-01-11","2011-01-12","ARIMA(0,1,5)",0.00366693619793297,0.00382662958081808,0.00277378490169824,0.00290557085691438,0.999888454401988,0.999720556329146,0.999961279755766,0.999962025932636,0,2.20243529667252e-07,4.15364135343826e-06
"10","2011-01-10/2011-01-12","2011-01-13","ARIMA(0,1,5)",0.00330862660035963,0.00347493968613848,0.00260821498225297,0.00272003445909943,0.999983718024371,0.999955113627382,0.999995242428423,0.998934244526105,0,5.41706260179897e-05,3.84182962306692e-07
"11","2011-01-11/2011-01-13","2011-01-14","ARIMA(0,1,5)",0.00325925256239972,0.00343311409261567,0.00261349515006231,0.00274005141546967,0.999999126536057,0.999983731941804,0.999998194619768,0.999588332895715,0,1.11100460013382e-06,2.5927284460757e-10
"12","2011-01-12/2011-01-14","2011-01-15","ARIMA(0,1,2)",0.00378604584356431,0.00386729059432413,0.0029951529742037,0.00304299491264391,0.363059381305714,0.489396169177867,0.542153867886299,0.562598152545232,0,0.0539534370418361,0.00655063422489183
"13","2011-01-13/2011-01-15","2011-01-16","ARIMA(1,1,2)",0.00405247843203038,0.00413569765698457,0.00313630743641337,0.00323918683216921,0.508952234305246,0.652814661655385,0.661165149134875,0.766306530999407,1.61352865513109e-08,0.000202573895885281,0.00632276777382606
"14","2011-01-14/2011-01-16","2011-01-17","ARIMA(1,0,0) with zero mean",0.00354632011530292,0.0036785696505529,0.00280555628489267,0.00291969089111827,0.662217235429055,0.726415080801269,0.787811066044602,0.683217264647124,1.4324785801989e-10,4.3780086337735e-09,5.86834542616844e-10
"15","2011-01-15/2011-01-17","2011-01-18","ARIMA(1,0,0) with zero mean",0.00340016678377658,0.00346757205799686,0.00267305043371556,0.00272473648600983,0.728590728440904,0.814254609344871,0.895646959988573,0.70235328005135,2.36494523964126e-09,0.00412452061729034,0.000512777196916988
"16","2011-01-16/2011-01-18","2011-01-19","ARIMA(0,1,5)",0.00345511364579632,0.0035994471814477,0.00271463518540761,0.0028311146883557,0.984588328334501,0.636001950477657,0.548748291277834,0.635211910299336,4.44089209850063e-16,6.46600628039971e-06,4.43583198929289e-07
"17","2011-01-17/2011-01-19","2011-01-20","ARIMA(0,1,5)",0.00358982560167673,0.00373514036583404,0.00282467608895071,0.00296722000984849,0.999941488686196,0.999996104004629,0.999932861693712,0.999923348494833,2.01771625851777e-07,3.10358915939191e-07,1.32097054257409e-06
"18","2011-01-18/2011-01-20","2011-01-21","ARIMA(0,1,2)",0.00358540704472358,0.00379656068402417,0.00281247288707875,0.00297394941116477,0.872690236551412,0.926331873067334,0.95674185766398,0.980689445305653,5.92935700538533e-11,1.07969325581664e-09,1.08272121434338e-12
"19","2011-01-19/2011-01-21","2011-01-22","ARIMA(0,1,2)",0.00380725530779443,0.00386876980190466,0.00296118428006377,0.0030240358915394,0.870214284529357,0.93829212767341,0.783295643444586,0.852329374575214,3.94393406821791e-11,0.015429127981058,0.0391301757067068
"20","2011-01-20/2011-01-22","2011-01-23","ARIMA(2,1,2)",0.0040147254337738,0.00408258235724603,0.00310345904182114,0.00315265318930473,0.886583636886244,0.515752650999843,0.615056469347257,0.723859671246307,2.22044604925031e-16,0.0451805435139971,0.0154884446928255
"21","2011-01-21/2011-01-23","2011-01-24","ARIMA(1,0,0) with zero mean",0.00355146292971378,0.00361243927171203,0.0028195061514004,0.00285847430369177,0.966087603875859,0.789485262159455,0.826248770924056,0.656572143070627,1.11022302462516e-16,0.0327836945374432,0.00212394034513802
"22","2011-01-22/2011-01-24","2011-01-25","ARIMA(2,0,3) with zero mean",0.00361557961062482,0.00369889162267964,0.00283128947148363,0.00290162397916806,0.98509784799866,0.991620168649717,0.992594577086303,0.990987875688707,4.54081217071689e-14,0.000101202118640082,4.30905223148734e-06
"23","2011-01-23/2011-01-25","2011-01-26","ARIMA(0,1,2)",0.00336475637427195,0.00352369619062298,0.00267416423539816,0.00277632586536391,0.480293244085643,0.203386941497459,0.297578468753843,0.391650742008549,1.75415237890775e-14,2.44459851386773e-06,3.54868608388351e-11
"24","2011-01-24/2011-01-26","2011-01-27","ARIMA(2,1,2)",0.00356148112130598,0.00370229835530203,0.00271298016163236,0.00282029603908944,0.957296743797319,0.969974091736939,0.983838017030585,0.986073871444052,1.05915144625879e-05,2.71925704334462e-05,1.51212907127529e-06
